agency_cd,site_no,parameter_cd,ts_id,year_nu,mean_va
USGS,9163500,60,19083,2000,4820
USGS,9163500,60,19083,2001,3866
USGS,9163500,60,19083,2002,2417
USGS,9163500,60,19083,2003,3638
USGS,9163500,60,19083,2004,3349
USGS,9163500,60,19083,2005,6214
USGS,9163500,60,19083,2006,5474
USGS,9163500,60,19083,2007,5216
USGS,9163500,60,19083,2008,8425
USGS,9163500,60,19083,2009,6857
USGS,9163500,60,19083,2010,5097
USGS,9163500,60,19083,2011,9510
USGS,9163500,60,19083,2012,3330
USGS,9163500,60,19083,2013,3331
USGS,9163500,60,19083,2014,7024
USGS,9163500,60,19083,2015,6499
USGS,9163500,60,19083,2016,6020
USGS,9163500,60,19083,2017,6154
USGS,9163500,60,19083,2018,3484
USGS,9163500,60,19083,2019,7366
USGS,9163500,60,19083,2020,4057