agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va,month
USGS,9163500,60,19083,2000,1,3059,2000-1
USGS,9163500,60,19083,2000,2,2895,2000-2
USGS,9163500,60,19083,2000,3,3242,2000-3
USGS,9163500,60,19083,2000,4,5245,2000-4
USGS,9163500,60,19083,2000,5,10940,2000-5
USGS,9163500,60,19083,2000,6,8640,2000-6
USGS,9163500,60,19083,2000,7,3589,2000-7
USGS,9163500,60,19083,2000,8,3368,2000-8
USGS,9163500,60,19083,2000,9,3640,2000-9
USGS,9163500,60,19083,2000,10,3394,2000-10
USGS,9163500,60,19083,2000,11,3268,2000-11
USGS,9163500,60,19083,2000,12,2867,2000-12
USGS,9163500,60,19083,2001,1,2597,2001-1
USGS,9163500,60,19083,2001,2,2567,2001-2
USGS,9163500,60,19083,2001,3,2834,2001-3
USGS,9163500,60,19083,2001,4,3372,2001-4
USGS,9163500,60,19083,2001,5,9017,2001-5
USGS,9163500,60,19083,2001,6,6310,2001-6
USGS,9163500,60,19083,2001,7,3047,2001-7
USGS,9163500,60,19083,2001,8,3521,2001-8
USGS,9163500,60,19083,2001,9,3505,2001-9
USGS,9163500,60,19083,2001,10,3277,2001-10
USGS,9163500,60,19083,2001,11,3074,2001-11
USGS,9163500,60,19083,2001,12,2505,2001-12
USGS,9163500,60,19083,2002,1,2399,2002-1
USGS,9163500,60,19083,2002,2,2233,2002-2
USGS,9163500,60,19083,2002,3,2347,2002-3
USGS,9163500,60,19083,2002,4,2734,2002-4
USGS,9163500,60,19083,2002,5,2640,2002-5
USGS,9163500,60,19083,2002,6,2431,2002-6
USGS,9163500,60,19083,2002,7,1675,2002-7
USGS,9163500,60,19083,2002,8,1597,2002-8
USGS,9163500,60,19083,2002,9,2094,2002-9
USGS,9163500,60,19083,2002,10,2455,2002-10
USGS,9163500,60,19083,2002,11,2603,2002-11
USGS,9163500,60,19083,2002,12,1980,2002-12
USGS,9163500,60,19083,2003,1,1876,2003-1
USGS,9163500,60,19083,2003,2,1822,2003-2
USGS,9163500,60,19083,2003,3,2030,2003-3
USGS,9163500,60,19083,2003,4,2341,2003-4
USGS,9163500,60,19083,2003,5,9043,2003-5
USGS,9163500,60,19083,2003,6,10100,2003-6
USGS,9163500,60,19083,2003,7,3066,2003-7
USGS,9163500,60,19083,2003,8,2660,2003-8
USGS,9163500,60,19083,2003,9,3637,2003-9
USGS,9163500,60,19083,2003,10,3223,2003-10
USGS,9163500,60,19083,2003,11,2822,2003-11
USGS,9163500,60,19083,2003,12,2391,2003-12